localidad;contaminacion_2017;basuras_2017;noalcantarillado_2017
teusaquillo;135;50;0
engativa;214;118;0
antonio nario;48;59;0
candelaria;36;24;0
desconocido;697;448;45
san cristobal;95;105;0
usaquen;110;64;0
suba;181;109;39
barrios unidos;85;45;0
santa fe;56;71;0
los martires;75;60;0
usme;164;128;78
ciudad bolivar;260;175;30
tunjuelito;118;50;0
rafael uribe;119;69;1
kennedy;293;147;1
fontibon;228;74;0
puente aranda;153;62;0
bosa;114;56;0
otra localidad rural;4;5;28
chapinero;25;26;2
sumapaz;0;1;45
